"digit","M_connections","Time","Accuracy.FF","Accuracy.baseline","release.probability"
6,5,100,92.89,90.42,1
7,5,40,94.89,89.72,1
3,5,20,92.59,89.9,1
3,5,30,92.81,89.9,1
3,5,10,91.2433333333333,89.9,0.5
3,5,60,91.23,89.9,1
8,5,30,91.1,90.26,1
2,5,30,94.59,89.68,1
7,5,20,94.5,89.72,1
3,5,40,93.43,89.9,1
4,5,40,92.93,90.18,1
3,5,40,93.43,89.9,1
4,5,20,90.35,90.18,1
2,5,100,92.14,89.68,1
3,5,20,92.57,89.9,1
2,5,50,94.68,89.68,1
3,5,60,93.32,89.9,1
7,5,80,93.9,89.72,1
3,5,20,93.28,89.9,1
7,5,20,91.16,89.72,0.5
2,5,20,91.39,89.68,1
7,5,40,94.97,89.72,1
3,5,20,90.27,89.9,1
7,5,30,93.43,89.72,0.5
0,5,30,92.71,90.2,1
3,5,20,91.0666666666667,89.9,0.5
7,5,40,95.14,89.72,1
8,5,20,90.39,90.26,1
3,5,50,93.86,89.9,1
7,5,30,91.8033333333333,89.72,0.5
7,5,10,93.3,89.72,1
7,5,60,94.44,89.72,1
7,5,30,94.72,89.72,1
7,5,10,93.61,89.72,1
3,5,40,93.47,89.9,1
2,5,20,90.24,89.68,1
5,5,20,91.4,91.08,1
3,5,10,90.82,89.9,0.5
0,5,100,91.43,90.2,1
3,5,40,93.61,89.9,1
3,5,50,93.36,89.9,1
8,5,10,90.26,90.26,1
7,5,20,90.2733333333333,89.72,0.5
1,5,20,90.74,88.65,1
2,5,10,93.1,89.68,0.5
0,5,50,92.88,90.2,1
3,5,20,92.43,89.9,1
2,5,10,90.4766666666667,89.68,0.5
2,5,10,91.7966666666667,89.68,0.5
0,5,80,91.87,90.2,1
7,5,30,94.79,89.72,1
8,5,50,90.91,90.26,1
6,5,100,92.17,90.42,1
7,5,10,92.68,89.72,1
7,5,30,90.23,89.72,1
8,5,50,91.21,90.26,1
6,5,30,94.28,90.42,1
2,5,30,95.15,89.68,1
4,5,20,91.3966666666667,90.18,0.5
3,5,50,93.94,89.9,1
2,5,20,93.2233333333333,89.68,0.5
3,5,20,92.62,89.9,1
0,5,100,91.33,90.2,1
2,5,30,93.79,89.68,0.5
3,5,30,93.7,89.9,1
7,5,10,91.04,89.72,1
0,5,10,90.81,90.2,1
2,5,10,92.66,89.68,0.5
1,5,40,92.65,88.65,1
3,5,30,93.89,89.9,1
3,5,20,90.0366666666667,89.9,0.5
0,5,10,91.28,90.2,1
4,5,20,92.59,90.18,1
9,5,30,91.2,89.91,1
0,5,60,92.12,90.2,1
7,5,20,90.53,89.72,1
2,5,10,91.2566666666667,89.68,0.5
5,5,30,92.12,91.08,1
3,5,10,90.3566666666667,89.9,0.5
3,5,20,91.19,89.9,1
3,5,60,93.13,89.9,1
3,5,30,93.1,89.9,1
8,5,20,91.09,90.26,1
7,5,50,95.57,89.72,1
7,5,30,94.2,89.72,1
5,5,100,91.61,91.08,1
2,5,20,92.83,89.68,1
3,5,10,90.15,89.9,1
2,5,20,90.0733333333333,89.68,0.5
3,5,30,92.3666666666667,89.9,0.5
2,5,10,90.8133333333333,89.68,0.5
0,5,30,93.28,90.2,1
4,5,80,91.01,90.18,1
3,5,40,93.21,89.9,1
2,5,40,94.98,89.68,1
3,5,40,93.46,89.9,1
4,5,50,91.83,90.18,1
7,5,10,91.6766666666667,89.72,0.5
7,5,40,93.4266666666667,89.72,0.75
0,5,100,91.21,90.2,1
3,5,10,90.07,89.9,0.5
0,5,80,91.67,90.2,1
7,5,20,90.31,89.72,1
3,5,20,91.49,89.9,0.5
3,5,50,93.66,89.9,1
7,5,20,95.23,89.72,1
0,5,40,93.46,90.2,1
8,5,60,91.27,90.26,1
2,5,30,90.24,89.68,1
5,5,20,91.95,91.08,1
3,5,30,92.4966666666667,89.9,0.5
3,5,30,90.18,89.9,0.5
0,5,100,91.21,90.2,1
